Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
akino-grafity,AKINO Grafity Oversized Tee,"<p>AKINO Grafity Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Sizes: Black (M, XL) · Dark Ash (M, L, XL)</li><li>Oversized drop-shoulder fit</li></ul>",AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,Size,M,akino-grafity-blk-m,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552042/akino/ready/akino-grafity-1.png,1,AKINO Grafity Oversized Tee,active
akino-grafity,,,,,,,,Black - 220 GSM,,XL,akino-grafity-blk-xl,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-grafity,,,,,,,,Dark Ash - 180 GSM,,M,akino-grafity-ash-m,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-grafity,,,,,,,,Dark Ash - 180 GSM,,L,akino-grafity-ash-l,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-grafity,,,,,,,,Dark Ash - 180 GSM,,XL,akino-grafity-ash-xl,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-grafity,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552043/akino/ready/akino-grafity-2.png,2,AKINO Grafity Oversized Tee,
akino-grafity,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552044/akino/ready/akino-grafity-3.png,3,AKINO Grafity Oversized Tee,
akino-justice,AKINO Justice Oversized Tee,"<p>AKINO Justice Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Sizes: Black (M, XL) · Dark Ash (M, L, XL)</li><li>Oversized drop-shoulder fit</li></ul>",AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,Size,M,akino-justice-blk-m,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552045/akino/ready/akino-justice-1.png,1,AKINO Justice Oversized Tee,active
akino-justice,,,,,,,,Black - 220 GSM,,XL,akino-justice-blk-xl,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-justice,,,,,,,,Dark Ash - 180 GSM,,M,akino-justice-ash-m,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
